invoice date,invoice ID,Invoice Number,customer ID,invoice status,item ID,quantity,item price,item total
2023-02-19,15454615,INV-001,1254566,closed,1545465456,2,107.5,215
2023-02-19,15454615,INV-001,1254566,closed,4546515156,3,60,180
2023-02-19,2545681,INV-002,1518913,closed,1545465456,2,107.5,215
2023-02-20,14655977,INV-003,88754699,closed,5448404445,4,20,80
2023-02-20,14655977,INV-003,88754699,closed,5448404445,1,150,150
2023-02-20,14655977,INV-003,88754699,closed,789818181,2,30,60
2023-02-21,13109976,INV-004,1254566,closed,112550009,4,10,40
2023-02-22,13109976,INV-004,1254566,closed,4848484565,3,10,30
2023-02-23,13109976,INV-004,1254566,closed,4848484565,2,155,310
2023-02-24,13109976,INV-004,1254566,closed,11252197,1,155,155